Filepath,File Name,Sample Type,Method,Batch
RPpos/HEU_Batch8_Sample55_RP_pos_SZ_07252023_136.mzML,HEU_Batch8_Sample55_RP_pos_SZ_07252023_136.mzML,Unknown,RPpos,8
RPpos/HEU_Batch6_Sample7_RP_pos_SZ_07182023_030.mzML,HEU_Batch6_Sample7_RP_pos_SZ_07182023_030.mzML,Unknown,RPpos,6
RPpos/HEU_Batch3_Sample11_RP_pos_SZ_07062023_040.mzML,HEU_Batch3_Sample11_RP_pos_SZ_07062023_040.mzML,Unknown,RPpos,3
RPpos/HEU_Batch8_Sample3_RP_pos_SZ_07252023_022.mzML,HEU_Batch8_Sample3_RP_pos_SZ_07252023_022.mzML,Unknown,RPpos,8
RPpos/Batch2_HEU132_B_RP_pos.mzML,Batch2_HEU132_B_RP_pos.mzML,Unknown,RPpos,2
RPpos/HEU_Batch1_Solvent_Blank_MobileA50B50_RP_pos_1_SZ_07282023_002.mzML,HEU_Batch1_Solvent_Blank_MobileA50B50_RP_pos_1_SZ_07282023_002.mzML,Solvent_Blank,RPpos,1
RPpos/HEU_Batch7_Sample18_RP_pos_SZ_07212023_054.mzML,HEU_Batch7_Sample18_RP_pos_SZ_07212023_054.mzML,Unknown,RPpos,7
RPpos/HEU_Batch6_Sample31_RP_pos_SZ_07182023_084.mzML,HEU_Batch6_Sample31_RP_pos_SZ_07182023_084.mzML,Unknown,RPpos,6
RPpos/HEU_Batch8_Sample46_RP_pos_SZ_07252023_116.mzML,HEU_Batch8_Sample46_RP_pos_SZ_07252023_116.mzML,Unknown,RPpos,8
RPpos/HEU_Batch1_Sample19_RP_pos_SZ_07282023_056.mzML,HEU_Batch1_Sample19_RP_pos_SZ_07282023_056.mzML,Unknown,RPpos,1
RPpos/HEU_Batch7_Pool_QC_Injection2uL_RP_pos_1_SZ_07212023_014.mzML,HEU_Batch7_Pool_QC_Injection2uL_RP_pos_1_SZ_07212023_014.mzML,QC,RPpos,7
RPpos/HEU_Batch6_Sample20_RP_pos_SZ_07182023_058.mzML,HEU_Batch6_Sample20_RP_pos_SZ_07182023_058.mzML,Unknown,RPpos,6
RPpos/HEU_Batch3_Sample4_RP_pos_SZ_07062023_024.mzML,HEU_Batch3_Sample4_RP_pos_SZ_07062023_024.mzML,Unknown,RPpos,3
RPpos/HEU_Batch8_NIST_RP_pos_2_SZ_07252023_142.mzML,HEU_Batch8_NIST_RP_pos_2_SZ_07252023_142.mzML,NIST,RPpos,8
RPpos/Batch2_HEU207_B_RP_pos.mzML,Batch2_HEU207_B_RP_pos.mzML,Unknown,RPpos,2
RPpos/HEU_Batch3_Sample26_RP_pos_SZ_07062023_072.mzML,HEU_Batch3_Sample26_RP_pos_SZ_07062023_072.mzML,Unknown,RPpos,3
RPpos/HEU_Batch8_Blank_IS_RP_pos_1_SZ_07252023_004.mzML,HEU_Batch8_Blank_IS_RP_pos_1_SZ_07252023_004.mzML,Blank_IS,RPpos,8
RPpos/HEU_Batch3_Sample27_RP_pos_SZ_07062023_074.mzML,HEU_Batch3_Sample27_RP_pos_SZ_07062023_074.mzML,Unknown,RPpos,3
RPpos/Batch2_HEU165_M_RP_pos.mzML,Batch2_HEU165_M_RP_pos.mzML,Unknown,RPpos,2
RPpos/HEU_Batch5_Sample38_RP_pos_SZ_07142023_098.mzML,HEU_Batch5_Sample38_RP_pos_SZ_07142023_098.mzML,Unknown,RPpos,5
RPpos/HEU_Batch6_Qstd_RP_pos_1_SZ_07182023_010.mzML,HEU_Batch6_Qstd_RP_pos_1_SZ_07182023_010.mzML,Qstd,RPpos,6
RPpos/HEU_Batch1_Sample32_RP_pos_SZ_07282023_086.mzML,HEU_Batch1_Sample32_RP_pos_SZ_07282023_086.mzML,Unknown,RPpos,1
RPpos/HEU_Batch6_Sample24_RP_pos_SZ_07182023_068.mzML,HEU_Batch6_Sample24_RP_pos_SZ_07182023_068.mzML,Unknown,RPpos,6
RPpos/HEU_Batch1_Sample51_RP_pos_SZ_07282023_128.mzML,HEU_Batch1_Sample51_RP_pos_SZ_07282023_128.mzML,Unknown,RPpos,1
RPpos/HEU_Batch7_Sample7_RP_pos_SZ_07212023_030.mzML,HEU_Batch7_Sample7_RP_pos_SZ_07212023_030.mzML,Unknown,RPpos,7
RPpos/HEU_Batch6_Pool_QC_Injection2uL_RP_pos_1_SZ_07182023_014.mzML,HEU_Batch6_Pool_QC_Injection2uL_RP_pos_1_SZ_07182023_014.mzML,QC,RPpos,6
RPpos/HEU_Batch3_NIST_RP_pos_1_SZ_07062023_008.mzML,HEU_Batch3_NIST_RP_pos_1_SZ_07062023_008.mzML,NIST,RPpos,3
RPpos/HEU_Batch3_Pool_QC_Injection3uL_RP_pos_3_SZ_07062023_060.mzML,HEU_Batch3_Pool_QC_Injection3uL_RP_pos_3_SZ_07062023_060.mzML,QC,RPpos,3
RPpos/HEU_Batch3_Sample33_RP_pos_SZ_07062023_088.mzML,HEU_Batch3_Sample33_RP_pos_SZ_07062023_088.mzML,Unknown,RPpos,3
RPpos/HEU_Batch1_Sample42_RP_pos_SZ_07282023_108.mzML,HEU_Batch1_Sample42_RP_pos_SZ_07282023_108.mzML,Unknown,RPpos,1
RPpos/HEU_Batch8_Sample14_RP_pos_SZ_07252023_046.mzML,HEU_Batch8_Sample14_RP_pos_SZ_07252023_046.mzML,Unknown,RPpos,8
RPpos/HEU_Batch4_Pool_QC_Injection3uL_RP_pos_6_SZ_07092023_126.mzML,HEU_Batch4_Pool_QC_Injection3uL_RP_pos_6_SZ_07092023_126.mzML,QC,RPpos,4
RPpos/HEU_Batch1_Sample9_RP_pos_SZ_07282023_034.mzML,HEU_Batch1_Sample9_RP_pos_SZ_07282023_034.mzML,Unknown,RPpos,1
RPpos/Batch2_HEU161_M_RP_pos.mzML,Batch2_HEU161_M_RP_pos.mzML,Unknown,RPpos,2
RPpos/HEU_Batch8_Sample22_RP_pos_SZ_07252023_064.mzML,HEU_Batch8_Sample22_RP_pos_SZ_07252023_064.mzML,Unknown,RPpos,8
RPpos/HEU_Batch1_Sample8_RP_pos_SZ_07282023_032.mzML,HEU_Batch1_Sample8_RP_pos_SZ_07282023_032.mzML,Unknown,RPpos,1
